age(Ma),Value
15.78,479
22.95,548
22.97,442
22.99,538
23.02,529
28.5,444
4.3,390
4.62,105.59
5.01,123.31
5.26,123.39
5.55,129.86
5.66,131.55
5.79,130.92
5.8,105.09
5.82,108.97
6.02,107.13
6.11,202.55
6.15,116.3
6.22,111.87
6.26,112.76
6.28,119.98
6.31,119.59
6.36,207.92
6.41,207.88
6.45,116.01
6.51,119.35
6.53,115.53
6.59,121.13
6.68,124.03
6.71,127.74
6.78,130.21
6.84,132.05
6.89,132.24
6.96,128.44
7.05,134.63
7.33,136.45
7.61,235.77
8.2,251.82
40.34,275.74
40.93,1001.93
35.61,918.97
36.4,910.3
36.96,871.97
36.96,883
37.64,830.6
38.11,814.01
38.78,898.8
38.78,893.23
38.78,887.01
38.78,950.09
39.45,947.84
39.45,787.87
40.25,945.83
40.92,966.73
32.98,864.55
33.17,573.28
33.33,734.17
33.38,931.04
33.59,964.47
33.96,722.47
34.21,952.25
34.42,1007.85
34.63,989.62
36.9,837.45
40.3,805.11
39.81,681.23
39.91,1072.46
39.98,886.85
40.06,866.11
40.11,1171.7
40.25,1196.81
40.39,955.94
40.52,935
40.65,937.45
41.01,894.24
39.12,1169.12
39.33,786.69
39.96,895.56
40,925.51
40.03,898.81
40.09,1059.41
40.14,1358.88
40.14,1399.88
40.24,1344.13
40.31,937.03
40.38,961.74
40.52,907.54
40.63,1008.14
40.81,1130.03
40.92,1090.99
41.13,944.47
3.62,863.22
3.85,314.88
3.93,293.19
4.03,220.6
4.11,244.46
4.34,301.8
4.43,327.24
4.58,290.48
4.78,309.53
4.86,225.24
4.94,236.36
5.04,252.04
5.19,238.46
3.69,245.96
3.81,333.95
3.9,328.2
4,334.54
4.11,331
4.21,338.07
4.3,346.26
4.39,341.55
4.54,323.85
4.58,344.52
4.62,334.3
4.69,343.03
8.92,317.29
9.21,251.2
9.29,235.97
9.37,215.14
9.42,220.66
9.72,126.72
9.84,276.94
9.87,237.81
9.94,115.88
10.02,221.53
10.11,133.96
10.18,253.95
10.24,148.22
10.3,234.3
10.36,230.54
10.43,126.91
10.48,117.8
10.52,267.16
10.71,136.2
10.84,236.4
11.19,125.21
11.52,122.49
11.58,227.96
11.73,214.41
11.97,221.3
12.04,219.21
12.11,248.3
12.19,139.78
12.24,229
12.28,247.75
12.47,246.58
12.52,269.74
12.59,136.13
12.64,228.31
12.69,229.57
12.78,224.44
12.85,231.85
12.93,220.84
12.98,210.79
13.1,124.77
13.27,235.28
13.33,222.38
13.39,179.33
13.44,230.45
13.49,203.26
13.59,240.84
13.77,249.85
13.79,250.35
13.84,262.99
13.86,223.7
14.47,273.98
14.56,254.48
14.6,157.37
14.65,137.29
14.69,335.49
14.78,274.15
15.03,355.23
15.75,343.14
16.07,299.92
16.11,339.88
16.13,369.82
16.32,313.25
16.43,329.94
16.66,317.18
16.84,267.98
17.01,165.8
17.38,144.76
17.48,136.94
17.8,159.28
17.9,163.09
18.44,269.41
18.52,426.51
18.59,276.99
18.68,251.96
18.77,252.77
19.15,520.6
19.23,301.89
19.3,309.01
19.82,372.49
19.93,288.02
20.88,340.32
21.28,311.61
21.33,296.38
21.47,324
21.76,270.58
23.08,317.48
23.57,409.29
38.13,293.49
38.18,960.23
38.43,588.05
38.49,508.2
38.62,931.83
39.13,613.84
39.35,517.53
39.37,769.99
39.38,873.4
39.4,860.52
39.42,708.23
39.44,1071.17
39.46,750.45
39.51,588.78
39.58,1001.59
39.65,695.45
39.71,822.08
39.78,655.92
39.97,593.21
40.27,1027.5
40.81,659.45
16.72,1004.72
17.72,570.14
18.51,490.26
19.43,351.52
20.02,285.57
20.56,356.5
21.78,394.84
11.54,302.26
12.1,353.79
12.52,348.01
4.42,298.99
4.86,300.02
5.33,429.87
5.8,449.16
8.56,430.18
9.24,489.26
9.87,441.19
10.6,313.36
16.38,359.52
16.01,344.72
16.02,519.01
16.07,379.51
16.86,424.17
16.9,371.07
17.08,389.43
18.25,342.4
19.14,311.53
20.09,385.41
5.81,255.52
6.54,312.26
7,382.21
8.45,420.68
13.95,402.55
13.9,572.51
13.83,518.7
13.73,549.34
13.71,425.06
13.65,468.46
4,463.98
4.23,415.83
15.65,397.22
15.72,475.42
15.73,674.39
15.74,717.54
15.77,518.41
15.81,462.23
15.84,452.32
15.88,751.43
15.9,455.88
15.93,483.59
15.97,787.41
16.01,665
16.04,442.59
16.04,449.13
16.05,492.34
16.06,910.53
16.09,501.15
16.11,454.35
16.12,612.2
16.14,481.45
16.15,423.62
16.16,370.75
16.17,713.32
16.19,430.86
16.2,707.82
16.21,409.46
16.22,756.86
16.23,654.01
16.25,355.84
16.29,782.04
16.31,419.79
16.32,384.24
16.34,370.12
16.39,515.84
16.48,328.3
12.37,392.69
12.77,338.74
13.22,388.96
13.39,421.89
13.54,418.49
13.61,412.3
13.87,439.68
13.94,456.39
14.18,462.73
15.14,632.88
15.67,547.35
15.99,490.48
16.22,642.63
11.7,369.71
13.76,445.73
15.84,402.12
3.59,575.31
3.72,264.3
3.79,282.92
3.87,260
3.96,340.01
4.04,278.71
4.12,286.13
4.58,330.25
24.75,355.49
25.2,693.53
25.29,341.59
26.05,392.61
26.1,465.21
26.13,407.48
30.03,425.65
30.06,549.82
30.18,395.34
31.56,603.41
31.76,300.83
31.96,268.38
32.16,383.01
32.36,402.39
32.91,319.44
33.22,344.02
33.49,297.35
33.36,384.33
33.43,777.89
33.61,392.2
33.67,427.86
34.48,512.16
35.6,564.23
36.11,596.95
36.61,525.13
37.16,578.04
33.69,695.42
4.94,565.17
5.13,341.62
5.26,166.94
5.56,311.66
5.86,235.24
6.03,299.68
6.19,243.12
6.37,350.39
6.53,337.2
4.94,160.49
4.98,312.13
5,327.15
5.05,319.94
5.06,319.36
5.12,391.88
5.17,366.36
5.18,310.38
5.2,298.28
5.23,332.17
5.27,307.05
5.31,382.4
5.36,290.51
5.38,332.84
5.42,351.4
5.45,299.97
5.49,370.86
5.54,344.07
5.58,328.73
5.6,400.79
5.65,299.25
5.71,372.21
5.71,297.46
5.77,302.06
5.81,409.44
5.85,294.7
5.89,283.05
5.97,280.78
6.02,302.78
6.06,373.58
6.1,345.34
6.23,359.41
6.29,413.74
6.3,328.79
6.35,381.47
6.39,376.37
6.46,309.75
6.5,384.17
6.56,320.68
6.59,378.13
6.6,327.76
6.63,434.23
6.77,378.8
6.79,408.27
6.93,333.75
21.09,390.27
3.75,407.67
3.95,362.34
4.11,403.86
4.26,306.54
4.44,270.39
4.59,364.51
4.75,336.78
5.29,425.6
3.72,341.22
3.65,261.95
3.83,283.91
3.97,226.7
4.08,247.57
4.32,287.5
4.59,378.04
7.14,326.06
13.78,373.35
24.4,269.14
24.72,364.26
25.88,513.54
28.12,463.04
28.56,337.21
30.1,558.31
30.71,660.74
32.32,588.15
35.02,672.44
35.23,447.92
35.6,766.01
35.91,740.68
36.11,632.17
36.66,600.76
36.96,776.84
39.87,597.8
33.26,834.29
34.1,492.94
35.72,685.23
33.17,449.92
33.48,332.56
33.61,377.47
35.36,283.66
37.25,564.62
30.72,441.83
32.52,573.98
32.61,574.09
33.33,552.54
33.77,596.02
34.14,546.2
35.45,799.02
35.89,766.67
36.17,924.49
32.82,787.76
33.26,539.17
33.65,375
34.12,468.11
34.94,537.53
35.56,783.65
22.02,786.06
22.16,277.72
22.44,393.09
22.51,380.95
22.52,315.84
22.58,371.11
22.59,367.21
22.66,291.65
22.67,315.91
22.7,348.85
22.73,290.14
22.74,229.17
22.81,271.62
22.82,228.01
22.82,233.15
22.87,250.59
22.9,346.68
22.94,300.45
22.97,252.83
23.01,237.64
23.02,248.25
23.08,261.28
23.09,292.57
23.09,286.3
23.16,270.56
23.25,255.97
23.26,291.18
23.31,285.89
23.34,250.24
23.58,256.24
23.58,252.89
23.66,248.88
23.73,249.15
23.8,290.86
23.82,257.3
23.86,258.85
23.93,326.18
23.98,243.75
24.02,221.61
21.17,261.88
21.4,335.94
21.84,299.99
13.8,305.89
13.79,145.47
13.79,142.38
13.78,137.02
13.77,143.01
13.77,147.14
13.76,152.01
13.75,139.09
13.74,143.91
13.72,141.33
13.71,139.39
13.7,134.03
13.69,129.5
13.68,139.27
13.67,129.38
13.67,136.85
13.66,143.16
13.65,143.07
13.64,143.55
13.6,142.55
12.81,127.97
4.01,138.44
5,374.35
6,334.89
7,402.12
8,503.35
9.31,246.55
10.33,423.12
11.2,285.05
12.46,322.33
13.1,375.31
14.36,336.24
15.76,558.17
16.78,655.15
13.81,506
18.1,487
29.5,827.97
17.75,719
39.92,367
40.09,998.16
40.11,794.56
40.14,809.06
40.25,1557.31
40.61,786.23
40.82,543.41
39.93,933.34
39.99,1094.65
40.07,982.09
40.12,1056.55
40.13,1295.88
40.24,1321.8
40.34,1336.1
40.73,1121.34
41.06,876.49
21.73,937.83
27.23,809
33.45,384
26.5,332.62
25,370.92
24,290.64
23.8,546.19
14.74,436.07
15.84,430.52
16.82,394.41
18.26,383.66
20.3,409.36
22.94,307.54
23.48,482.58
25.3,406.16
26.57,483.19
27.85,524.91
28.78,557.54
29.21,571.19
29.57,664.84
29.64,731.06
31.27,682.07
32.04,562.99
32.58,594.67
32.83,600.81
33.57,576.08
35.29,537.14
35.56,671.52
36.09,691.22
36.81,824.36
37.43,872.01
38.55,763.48
38.25,677.44
