age_without_unit,value
480,16
480,15
480.03,15.8
480.1,16.2
480.32,16.3
480.48,16.6
480.48,15.7
449,16.6
451,17.1
453.5,17.4
454.4,18.4
455.3,17.5
456.2,17.9
457.1,17.5
458,17.8
460,17.1
462,16.6
464,17
466,17
468,16.8
469,16.7
470,16.9
471,16.8
472.5,16.6
474,16.1
475,16.4
476,16.1
477,16.3
477.9,16
478.6,15.8
479.3,15.8
480,15.9
481,15
482,16.1
483,15.1
324.34,22.16
324.35,22.49
324.38,22.22
324.38,22.39
324.43,22.23
324.48,22.24
324.49,22.14
324.53,22.77
324.55,22.28
324.57,21.63
324.58,22.76
324.61,21.09
324.62,22.05
325.11,23.6
325.23,22.12
325.33,22.12
325.55,23.3
325.64,23.39
325.78,21.93
325.85,23.07
325.9,22.01
326.12,22.43
326.27,23.2
326.39,22.78
326.58,22.5
326.77,21.7
327.12,22.74
327.17,21.72
327.25,21.9
327.37,20.75
327.49,22.43
327.51,20.63
327.59,22.17
327.62,21.29
327.74,23.14
327.99,21.98
328.11,20.82
328.5,21.9
328.85,21.6
329.14,19.98
330.86,21.47
334.09,21.29
334.25,20.85
334.52,21.06
335.53,20.59
336.95,21.81
339.64,20.86
344.46,20.71
344.88,21.46
345.92,20.42
346.07,20.66
346.22,20.75
346.36,20.76
346.43,19.65
346.44,19.68
346.5,20.7
346.53,21.04
346.6,20.18
346.63,21.31
346.69,21.16
346.73,21.46
346.78,22
346.96,20.74
346.99,19.73
347.03,19.61
347.11,19.68
347.17,20.5
347.33,20.65
347.34,20.08
347.34,21.2
347.34,19.84
347.53,20.63
347.68,20.27
347.92,20.25
347.98,20.6
348.02,20.6
348.03,20.27
348.05,20.89
348.08,20.5
348.16,20.5
348.29,21.2
348.54,21.5
348.58,21
348.66,20.31
348.9,20.09
349.15,20.16
349.4,19.29
349.54,20.1
349.56,20.02
349.84,20.04
349.94,19.46
349.99,19.28
350.01,20.13
350.07,19.95
350.17,20.04
350.18,19.87
350.21,22.25
350.22,21.84
350.26,19.88
350.31,20
350.4,19.52
350.42,21.39
350.43,20.05
350.56,20.39
350.61,20.11
350.67,21.15
350.67,19.35
350.68,21.04
350.78,19.23
350.83,19.34
350.85,19.9
350.86,20.42
350.86,18.18
350.93,17.84
350.96,19.61
350.99,18.59
351.01,19.64
351.02,20.74
351.07,20.2
351.09,17.93
351.09,19.7
351.11,20.7
351.17,20.84
351.22,17.51
351.29,17.73
351.29,20.05
351.35,19.77
351.36,20.5
351.39,20.42
351.4,19.68
351.4,20.55
351.41,20.65
351.43,19.87
351.45,20.6
351.47,20.97
351.48,19.6
351.52,20.44
351.56,19.43
351.56,21
351.63,19.85
351.68,19.45
351.78,19.68
351.88,20.02
351.9,19.71
351.92,19.98
351.96,19.35
352.05,18.67
352.15,19.82
352.17,20.08
352.24,19.68
352.41,20.14
352.52,19.57
352.53,20.2
352.62,19
352.62,19.44
352.72,19.94
352.81,19.48
352.83,19.7
352.89,19.87
352.94,19.62
352.98,19.76
353.02,20.27
353.08,19.42
353.11,19.5
353.13,19.6
353.15,18.68
353.16,19.3
353.17,19
353.17,19.68
353.21,19.39
353.22,18.14
353.27,18.87
353.3,19.5
353.32,19.06
353.37,18.66
353.41,19.06
353.45,19.08
353.49,19.8
354.76,17.86
355.06,18.98
355.54,18.91
355.6,19.56
356.07,18.57
356.24,17.71
356.39,19.53
356.57,19.54
356.64,18.66
