年龄值,数值大小
0,0
1,0.002
2,0.004
3,0.004
4,0.003
5,0.002
6,0.004
7,0.005
8,0.004
9,0.004
10,0.004
11,0.004
12,0.003
13,0.003
14,0.001
15,0.001
16,0.005
17,0.011
18,0.017
19,0.023
20,0.028
21,0.033
22,0.037
23,0.041
24,0.046
25,0.05
26,0.053
27,0.056
28,0.059
29,0.062
30,0.064
31,0.068
32,0.071
33,0.076
34,0.082
35,0.087
36,0.089
37,0.092
38,0.094
39,0.096
40,0.097
41,0.098
42,0.098
43,0.098
44,0.098
45,0.099
46,0.102
47,0.104
48,0.107
49,0.11
50,0.112
51,0.113
52,0.113
53,0.111
54,0.109
55,0.107
56,0.105
57,0.104
58,0.102
59,0.101
60,0.099
61,0.098
62,0.097
63,0.096
64,0.095
65,0.094
66,0.093
67,0.092
68,0.093
69,0.095
70,0.098
71,0.101
72,0.104
73,0.108
74,0.112
75,0.116
76,0.119
77,0.123
78,0.127
79,0.13
80,0.133
81,0.136
82,0.138
83,0.141
84,0.143
85,0.145
86,0.148
87,0.151
88,0.155
89,0.159
90,0.163
91,0.165
92,0.165
93,0.163
94,0.162
95,0.161
96,0.16
97,0.161
98,0.159
99,0.158
100,0.157
101,0.157
102,0.156
103,0.155
104,0.155
105,0.154
106,0.154
107,0.153
108,0.153
109,0.152
110,0.153
111,0.154
112,0.156
113,0.159
114,0.162
115,0.164
116,0.161
117,0.158
118,0.155
119,0.153
120,0.151
121,0.149
122,0.146
123,0.144
124,0.141
125,0.138
126,0.135
127,0.131
128,0.128
129,0.126
130,0.126
131,0.126
132,0.127
133,0.129
134,0.13
135,0.13
136,0.13
137,0.13
138,0.131
139,0.132
140,0.133
141,0.133
142,0.134
143,0.135
144,0.136
145,0.136
146,0.137
147,0.137
148,0.138
149,0.139
150,0.14
151,0.141
152,0.143
153,0.145
154,0.147
155,0.149
156,0.15
157,0.151
158,0.151
159,0.151
160,0.151
161,0.15
162,0.15
163,0.148
164,0.147
165,0.143
166,0.137
167,0.129
168,0.126
169,0.12
170,0.105
171,0.102
172,0.101
173,0.1
174,0.099
175,0.098
176,0.098
177,0.1
178,0.102
179,0.102
180,0.105
181,0.108
182,0.111
183,0.113
184,0.112
185,0.109
186,0.104
187,0.1
188,0.096
189,0.092
190,0.087
191,0.083
192,0.08
193,0.078
194,0.077
195,0.075
196,0.072
197,0.07
198,0.067
199,0.066
200,0.065
201,0.062
202,0.059
203,0.056
204,0.052
205,0.047
206,0.043
207,0.039
208,0.035
209,0.031
210,0.027
211,0.023
212,0.019
213,0.016
214,0.013
215,0.01
216,0.008
217,0.008
218,0.007
219,0.006
220,0.005
221,0.003
222,0.002
223,0.004
224,0.007
225,0.009
226,0.01
227,0.012
228,0.013
229,0.015
230,0.018
231,0.02
232,0.022
233,0.025
234,0.027
235,0.03
236,0.031
237,0.031
238,0.031
239,0.03
240,0.027
241,0.025
242,0.022
243,0.02
244,0.016
245,0.013
246,0.011
247,0.013
248,0.019
249,0.027
250,0.04
251,0.056
252,0.071
253,0.083
254,0.093
255,0.1
256,0.103
257,0.105
258,0.108
259,0.112
260,0.115
261,0.12
262,0.123
263,0.124
264,0.123
265,0.119
266,0.114
267,0.11
268,0.107
269,0.105
270,0.104
271,0.104
272,0.104
273,0.104
274,0.103
275,0.103
276,0.103
277,0.104
278,0.104
279,0.105
280,0.105
281,0.107
282,0.109
283,0.11
284,0.112
285,0.113
286,0.115
287,0.116
288,0.117
289,0.118
290,0.118
291,0.119
292,0.118
293,0.114
294,0.11
295,0.105
296,0.102
297,0.099
298,0.095
299,0.092
300,0.09
301,0.086
302,0.084
303,0.083
304,0.082
305,0.081
306,0.08
307,0.08
308,0.079
309,0.079
310,0.079
311,0.079
312,0.079
313,0.079
314,0.079
315,0.08
316,0.08
317,0.08
318,0.081
319,0.081
320,0.082
321,0.083
322,0.084
323,0.085
324,0.087
325,0.089
326,0.091
327,0.094
328,0.098
329,0.101
330,0.106
331,0.11
332,0.115
333,0.12
334,0.125
335,0.131
336,0.135
337,0.135
338,0.135
339,0.136
340,0.135
341,0.135
342,0.134
343,0.133
344,0.131
345,0.129
346,0.125
347,0.122
348,0.118
349,0.115
350,0.111
351,0.108
352,0.105
353,0.102
354,0.099
355,0.097
356,0.095
357,0.094
358,0.093
359,0.093
360,0.093
361,0.094
362,0.095
363,0.096
364,0.097
365,0.099
366,0.101
367,0.102
368,0.104
369,0.106
370,0.108
371,0.108
372,0.109
373,0.109
374,0.11
375,0.11
376,0.111
377,0.112
378,0.113
379,0.114
380,0.115
381,0.117
382,0.12
383,0.122
384,0.124
385,0.124
386,0.124
387,0.123
388,0.122
389,0.12
390,0.118
391,0.119
392,0.12
393,0.121
394,0.119
395,0.117
396,0.112
397,0.108
398,0.104
399,0.101
400,0.097
401,0.095
402,0.094
403,0.092
404,0.091
405,0.089
406,0.087
407,0.084
408,0.082
409,0.079
410,0.075
411,0.071
412,0.067
413,0.063
414,0.059
415,0.056
416,0.053
417,0.051
418,0.05
419,0.049
420,0.048
421,0.048
422,0.048
423,0.048
424,0.048
425,0.052
426,0.058
427,0.068
428,0.072
429,0.074
430,0.077
431,0.08
432,0.081
433,0.081
434,0.082
435,0.083
436,0.086
437,0.089
438,0.093
439,0.099
440,0.105
441,0.109
442,0.114
443,0.117
444,0.12
445,0.122
446,0.123
447,0.124
448,0.123
