age(Ma),Value
0.000028,-0.34
0.000028,5.86
0.000045,-0.34
0.000174,0.35
0.000188,4.1
0.000215,4
0.000247,4
0.000248,1.2
0.000257,6.6
0.000338,-0.58
0.000379,2.25
0.000397,0.45
0.00042,2.8
0.000426,4
0.000434,1.89
0.000441,3.86
0.000446,7.5
0.000488,0.43
0.000509,3.86
0.000513,6.2
0.000515,1.89
0.000516,-0.58
0.000517,-3.02
0.000525,3.1
0.000542,0.25
0.000545,7
0.000558,0.03
0.000599,2.75
0.000601,0.55
0.000621,1.2
0.000637,2.39
0.000699,0.86
0.00071,-0.54
0.00071,-0.15
0.000711,3.2
0.000727,0.35
0.000729,3.45
0.000729,2.39
0.000737,1.45
0.000744,5.86
0.000746,6.1
0.00075,1.43
0.000781,10.7
0.000785,2.86
0.000821,2.7
0.000835,1.73
0.000853,2.85
0.000861,4.6
0.000875,0.9
0.000882,1.4
0.000883,2.46
0.000883,1.3
0.000924,0.75
0.000949,1.8
0.000966,2.06
0.00097,1.46
0.000977,1.03
0.000977,0.02
0.000995,-0.54
0.000996,2.46
0.000997,3
0.001008,1.46
0.001008,1.47
0.001018,1.53
0.001024,0.46
0.001036,0.46
0.001065,0.6
0.001092,2.5
0.001106,1.46
0.001134,2.3
0.001139,3.75
0.001169,1.55
0.001172,3.75
0.001215,1.35
0.001225,7
0.001239,-11
0.001247,6
0.001257,2.46
0.001278,3.55
0.001281,8.1
0.001292,5.15
0.0013,1.95
0.001315,0.5
0.001315,3.1
0.001315,1.2
0.001326,-1.35
0.001347,4
0.001347,1.6
0.00138,1.46
0.001384,1.46
0.001396,3.46
0.001408,3.95
0.00143,0.5
0.001437,1.35
0.001458,1
0.001465,1.95
0.001465,-3.1
0.001467,-1.2
0.001468,3.46
0.001485,-0.07
0.001498,25.96
0.001525,1.8
0.001539,1
0.001543,2.96
0.001545,12.46
0.00155,3.13
0.001572,4.05
0.001619,8.46
0.001631,4
0.001675,-1.8
0.001684,0.25
0.001695,0.9
0.001715,3.45
0.001734,14.88
0.001749,0.71
0.001762,-0.04
0.001765,2.65
0.001772,4
0.001782,2.46
0.001794,0.37
0.001814,3.15
0.001824,7.8
0.001879,2.15
0.00188,8.86
0.001904,1.95
0.001909,5.5
0.001917,1.35
0.001917,-0.15
0.001943,2.05
0.001967,-0.45
0.001971,8.46
0.002003,-1.32
0.002004,9
0.002006,1.46
0.002015,4.46
0.002039,7.6
0.002062,-3.13
0.002093,3.45
0.002113,4.65
0.002123,11
0.002134,3.6
0.002154,-0.65
0.002179,7.8
0.002185,5.46
0.002187,5.06
0.002203,4.46
0.002214,3.46
0.002238,0.5
0.002253,6.89
0.002254,5.46
0.002307,4.2
0.002365,13.5
0.002424,4.85
0.00246,0.85
0.002462,1.7
0.002474,2.5
0.002486,5.46
0.002514,2.2
0.002523,1.69
0.002524,4.73
0.002546,6.46
0.002546,3.43
0.002554,5.23
0.002554,8.56
0.002556,7.46
0.002584,6.6
0.002588,1.2
0.002612,25.96
0.002623,9
0.002627,-0.09
0.002653,25.96
0.002655,0.5
0.00267,0.5
0.002678,0.8
0.00268,1.3
0.002724,-7
0.002732,0.4
0.00278,7.46
0.002808,5.8
0.002809,1.4
0.002822,7.5
0.002865,6.45
0.002876,7.97
0.002887,-2.45
0.002892,8.5
0.002901,12.46
0.00291,5.25
0.002936,4.18
